#       time         integral Re         integral Im         integral Re         integral Im
#       r =            32.000000           32.000000           50.000000           50.000000
   0.0000000    7.0179744754e-05   -2.1354608836e-21    1.5349154362e-06    1.2697352273e-22
   0.2500000    6.9560423553e-05   -1.9369722385e-21    1.4507122763e-06    1.5365870637e-22
   0.5000000    6.8946408995e-05   -2.3907123684e-21    1.3382827032e-06    1.6773651241e-22
   0.7500000    6.8337859836e-05   -3.0328624153e-21    1.2300449459e-06    1.3538158000e-22
   1.0000000    6.7734940679e-05   -2.4595606626e-21    1.1102347952e-06    7.2060863235e-23
   1.2500000    6.7137822161e-05   -2.3982764859e-21    9.7377504947e-07    2.3179482153e-23
   1.5000000    6.6546681144e-05   -3.0555810269e-21    8.3031780072e-07    2.6011870684e-23
   1.7500000    6.5961700959e-05   -1.8024822461e-21    6.9199658648e-07    5.9561419701e-23
   2.0000000    6.5383071578e-05   -2.8702972439e-21    5.6671600417e-07    1.2595751652e-22
   2.2500000    6.4810989895e-05   -2.7172168681e-21    4.6075751363e-07    1.6050955201e-22
   2.5000000    6.4245659890e-05   -1.9877438110e-21    3.7627367787e-07    1.5969130681e-22
   2.7500000    6.3687292875e-05   -1.8316798925e-21    3.0406536214e-07    1.2012304433e-22
   3.0000000    6.3136107853e-05   -2.2579126905e-21    2.2549936226e-07    7.4398273913e-23
   3.2500000    6.2592331653e-05   -2.8590677745e-21    1.2574143395e-07    5.5347192151e-23
   3.5000000    6.2056199287e-05   -1.7317390304e-21    4.7926848048e-09    5.8984100818e-23
   3.7500000    6.1527954183e-05   -2.1931105157e-21   -1.2460136831e-07    8.3792083120e-23
   4.0000000    6.1007848488e-05   -1.6200819501e-21   -2.4834658633e-07    1.0133154447e-22
   4.2500000    6.0496143387e-05   -2.3479027758e-21   -3.6010485449e-07    9.5424874813e-23
   4.5000000    5.9993109416e-05   -2.0174216775e-21   -4.6206927365e-07    9.7065267434e-23
   4.7500000    5.9499026770e-05   -2.1909469523e-21   -5.6033261231e-07    7.6688756672e-23
   5.0000000    5.9014185494e-05   -1.3394736100e-21   -6.6028219795e-07    5.3147523831e-23
   5.2500000    5.8538886027e-05   -2.0525762151e-21   -7.6443219105e-07    5.6467570062e-23
   5.5000000    5.8073439694e-05   -2.1627986778e-21   -8.7236903764e-07    6.0478417749e-23
