#       time                 x_1                 y_1                 z_1                 x_2                 y_2                 z_2
   0.0000000    7.4000000000e+01    6.4000000000e+01    0.0000000000e+00    5.4000000000e+01    6.4000000000e+01    0.0000000000e+00
   0.5000000    7.3998374702e+01    6.4000000000e+01    0.0000000000e+00    5.4001625298e+01    6.4000000000e+01   -4.1359030628e-25
   1.0000000    7.3990672488e+01    6.4000000000e+01   -7.4446255130e-24    5.4009327512e+01    6.4000000000e+01   -6.2038545941e-24
   1.5000000    7.3977485539e+01    6.4000000000e+01   -3.3087224502e-23    5.4022514461e+01    6.4000000000e+01   -2.2747466845e-23
   2.0000000    7.3961550709e+01    6.4000000000e+01   -1.4558378781e-22    5.4038449291e+01    6.4000000000e+01    3.7223127565e-24
   2.5000000    7.3944456297e+01    6.4000000000e+01   -1.4558378781e-22    5.4055543703e+01    6.4000000000e+01    8.3131651562e-23
   3.0000000    7.3926874654e+01    6.4000000000e+01   -1.4558378781e-22    5.4073125346e+01    6.4000000000e+01    8.3131651562e-23
   3.5000000    7.3909893926e+01    6.4000000000e+01   -1.4558378781e-22    5.4090106074e+01    6.4000000000e+01    8.3131651562e-23
   4.0000000    7.3894618998e+01    6.4000000000e+01   -1.4558378781e-22    5.4105381002e+01    6.4000000000e+01    8.3131651562e-23
   4.5000000    7.3881429081e+01    6.4000000000e+01   -1.4558378781e-22    5.4118570919e+01    6.4000000000e+01    8.3131651562e-23
   5.0000000    7.3869960742e+01    6.4000000000e+01   -1.4558378781e-22    5.4130039258e+01    6.4000000000e+01    8.3131651562e-23
   5.5000000    7.3859750851e+01    6.4000000000e+01   -1.4558378781e-22    5.4140249149e+01    6.4000000000e+01    8.3131651562e-23
   6.0000000    7.3850588980e+01    6.4000000000e+01   -1.4558378781e-22    5.4149411020e+01    6.4000000000e+01    8.3131651562e-23
   6.5000000    7.3842281362e+01    6.4000000000e+01   -1.4558378781e-22    5.4157718638e+01    6.4000000000e+01    8.3131651562e-23
   7.0000000    7.3834641445e+01    6.4000000000e+01   -1.4558378781e-22    5.4165358555e+01    6.4000000000e+01    8.3131651562e-23
   7.5000000    7.3827565000e+01    6.4000000000e+01   -1.4558378781e-22    5.4172435000e+01    6.4000000000e+01    8.3131651562e-23
   8.0000000    7.3820992869e+01    6.4000000000e+01   -1.4558378781e-22    5.4179007131e+01    6.4000000000e+01    8.3131651562e-23
   8.5000000    7.3814867516e+01    6.4000000000e+01   -1.4558378781e-22    5.4185132484e+01    6.4000000000e+01    8.3131651562e-23
   9.0000000    7.3809130769e+01    6.4000000000e+01   -1.4558378781e-22    5.4190869231e+01    6.4000000000e+01    8.3131651562e-23
   9.5000000    7.3803732467e+01    6.4000000000e+01   -1.4558378781e-22    5.4196267533e+01    6.4000000000e+01    8.3131651562e-23
  10.0000000    7.3798632739e+01    6.4000000000e+01   -1.4558378781e-22    5.4201367261e+01    6.4000000000e+01    8.3131651562e-23
  10.5000000    7.3793799601e+01    6.4000000000e+01   -1.4558378781e-22    5.4206200399e+01    6.4000000000e+01    8.3131651562e-23
  11.0000000    7.3789205869e+01    6.4000000000e+01   -1.4558378781e-22    5.4210794131e+01    6.4000000000e+01    8.3545241868e-23
  11.5000000    7.3784828551e+01    6.4000000000e+01   -1.4723814904e-22    5.4215171449e+01    6.4000000000e+01    8.2718061256e-23
  12.0000000    7.3780647833e+01    6.4000000000e+01   -1.4765173934e-22    5.4219352167e+01    6.4000000000e+01    8.1890880643e-23
  12.5000000    7.3776646579e+01    6.4000000000e+01   -1.4765173934e-22    5.4223353421e+01    6.4000000000e+01    8.1477290337e-23
  13.0000000    7.3772809142e+01    6.4000000000e+01   -1.4641096842e-22    5.4227190858e+01    6.4000000000e+01    8.0856904877e-23
  13.5000000    7.3769122919e+01    6.4000000000e+01   -1.4620417327e-22    5.4230877081e+01    6.4000000000e+01    8.0650109724e-23
